amount_tsh,date_recorded,gps_height,basin,region,population,scheme_management,permit,construction_year,extraction_type_class,payment_type,quality_group,quantity_group,source_type,waterpoint_type_group,status_group,month_recorded,age
4000.0,2011-02-20,1982,Rufiji,Iringa,70,VWC,True,1970-01-01 00:00:00.000002003,gravity,annually,good,enough,spring,communal standpipe,functional,2,41
1500.0,2011-04-04,2169,Rufiji,Iringa,20,VWC,True,1970-01-01 00:00:00.000002007,gravity,annually,good,enough,spring,communal standpipe,functional,4,41
20.0,2013-02-21,783,Pangani,Kilimanjaro,10,Water authority,True,1970-01-01 00:00:00.000002008,gravity,per bucket,good,insufficient,spring,communal standpipe,functional,2,43
0.0,2011-08-18,1545,Lake Rukwa,Rukwa,200,VWC,True,1970-01-01 00:00:00.000001973,gravity,never pay,good,dry,river/lake,communal standpipe,non functional,8,41
0.0,2011-07-31,0,Lake Nyasa,Mbeya,0,VWC,True,1970-01-01 00:00:00.000000000,gravity,never pay,good,enough,spring,communal standpipe,functional,7,41
0.0,2011-08-01,0,Lake Victoria,Mwanza,0,VWC,True,1970-01-01 00:00:00.000000000,submersible,unknown,unknown,dry,borehole,communal standpipe,non functional,8,41
20.0,2013-02-22,766,Pangani,Kilimanjaro,1,Water authority,True,1970-01-01 00:00:00.000002008,gravity,per bucket,good,insufficient,spring,communal standpipe,non functional,2,43
6.0,2013-07-03,962,Pangani,Kilimanjaro,45,Water Board,True,1970-01-01 00:00:00.000002008,gravity,per bucket,good,enough,spring,communal standpipe,functional,7,43
0.0,2013-08-03,1583,Pangani,Arusha,150,VWC,True,1970-01-01 00:00:00.000002009,gravity,never pay,good,enough,spring,communal standpipe,non functional,8,43
0.0,2013-01-22,1703,Internal,Manyara,456,WUG,True,1970-01-01 00:00:00.000002000,handpump,never pay,good,enough,shallow well,hand pump,functional,1,43
0.0,2011-07-07,0,Lake Victoria,Kagera,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,never pay,good,enough,shallow well,hand pump,functional needs repair,7,41
0.0,2011-03-13,190,Pangani,Tanga,200,VWC,False,1970-01-01 00:00:00.000001999,gravity,never pay,good,seasonal,spring,communal standpipe,functional,3,41
0.0,2011-03-22,1670,Pangani,Tanga,1,VWC,True,1970-01-01 00:00:00.000001992,other,never pay,good,enough,shallow well,other,non functional,3,41
500.0,2013-01-16,954,Lake Tanganyika,Kigoma,567,VWC,True,1970-01-01 00:00:00.000001985,gravity,monthly,good,enough,river/lake,communal standpipe,functional needs repair,1,43
0.0,2013-05-03,1365,Pangani,Arusha,130,VWC,True,1970-01-01 00:00:00.000002002,gravity,unknown,good,insufficient,river/lake,communal standpipe,non functional,5,43
0.0,2013-01-19,1538,Internal,Singida,225,WUG,True,1970-01-01 00:00:00.000002004,handpump,never pay,good,enough,borehole,hand pump,functional,1,43
0.0,2011-02-22,1788,Rufiji,Iringa,50,Private operator,True,1970-01-01 00:00:00.000002010,rope pump,never pay,good,enough,borehole,hand pump,functional,2,41
0.0,2011-07-31,0,Lake Victoria,Kagera,0,WUG,True,1970-01-01 00:00:00.000000000,gravity,never pay,good,dry,spring,other,non functional,7,41
0.0,2011-01-04,1366,Rufiji,Iringa,54,WUA,True,1970-01-01 00:00:00.000001978,gravity,on failure,good,dry,river/lake,communal standpipe,non functional,1,41
0.0,2013-02-04,1694,Lake Tanganyika,Kigoma,1,Water authority,False,1970-01-01 00:00:00.000002004,other,never pay,good,dry,rainwater harvesting,communal standpipe,non functional,2,43
0.0,2011-03-31,0,Rufiji,Mbeya,0,VWC,False,1970-01-01 00:00:00.000000000,gravity,never pay,good,insufficient,river/lake,communal standpipe,non functional,3,41
0.0,2011-04-04,0,Rufiji,Mbeya,0,VWC,True,1970-01-01 00:00:00.000000000,gravity,never pay,good,seasonal,river/lake,communal standpipe,non functional,4,41
0.0,2013-02-27,1565,Lake Victoria,Mara,200,Other,True,1970-01-01 00:00:00.000001991,handpump,other,good,insufficient,shallow well,hand pump,non functional,2,43
500.0,2013-01-16,1153,Lake Tanganyika,Kigoma,1,Water authority,False,1970-01-01 00:00:00.000002009,handpump,on failure,good,enough,shallow well,hand pump,functional,1,43
0.0,2011-08-07,0,Lake Victoria,Kagera,0,VWC,False,1970-01-01 00:00:00.000000000,submersible,never pay,good,insufficient,borehole,communal standpipe,non functional,8,41
500.0,2011-03-23,2049,Rufiji,Iringa,75,WUA,True,1970-01-01 00:00:00.000002008,gravity,monthly,good,enough,spring,communal standpipe,functional,3,41
0.0,2013-03-18,905,Pangani,Arusha,140,VWC,True,1970-01-01 00:00:00.000001974,gravity,unknown,good,insufficient,spring,communal standpipe,functional,3,43
0.0,2011-03-30,406,Pangani,Tanga,900,VWC,False,1970-01-01 00:00:00.000001992,gravity,never pay,good,dry,river/lake,communal standpipe,non functional,3,41
0.0,2012-10-23,0,Lake Tanganyika,Shinyanga,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,unknown,good,insufficient,shallow well,hand pump,functional,10,42
0.0,2011-03-02,2328,Lake Nyasa,Iringa,0,VWC,False,1970-01-01 00:00:00.000002002,gravity,never pay,good,enough,spring,communal standpipe,functional,3,41
0.0,2011-03-04,427,Wami/Ruvu,Morogoro,100,VWC,True,1970-01-01 00:00:00.000002004,gravity,never pay,good,enough,river/lake,communal standpipe,functional needs repair,3,41
0.0,2013-03-14,1331,Pangani,Arusha,360,WUA,True,1970-01-01 00:00:00.000002011,gravity,unknown,good,enough,spring,communal standpipe,functional,3,43
0.0,2012-10-22,0,Internal,Shinyanga,0,WUG,False,1970-01-01 00:00:00.000000000,handpump,on failure,good,insufficient,shallow well,hand pump,functional,10,42
0.0,2012-10-18,1185,Lake Victoria,Mara,544,Parastatal,False,1970-01-01 00:00:00.000002002,gravity,unknown,good,enough,rainwater harvesting,hand pump,non functional,10,42
0.0,2011-08-08,0,Lake Victoria,Mwanza,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,never pay,good,seasonal,shallow well,hand pump,non functional,8,41
500.0,2011-02-20,1701,Rufiji,Iringa,441,VWC,True,1970-01-01 00:00:00.000002000,handpump,monthly,good,enough,borehole,hand pump,functional,2,41
50.0,2011-03-12,159,Wami/Ruvu,Pwani,20,WUA,True,1970-01-01 00:00:00.000002008,submersible,per bucket,good,enough,river/lake,communal standpipe,non functional,3,41
0.0,2011-04-11,0,Wami/Ruvu,Dodoma,0,VWC,False,1970-01-01 00:00:00.000000000,motorpump,per bucket,good,insufficient,borehole,communal standpipe,functional needs repair,4,41
200.0,2013-01-17,1002,Lake Tanganyika,Kigoma,120,WUG,True,1970-01-01 00:00:00.000002006,gravity,monthly,good,enough,river/lake,communal standpipe,functional needs repair,1,43
0.0,2013-01-20,212,Ruvuma/Southern Coast,Lindi,280,VWC,True,1970-01-01 00:00:00.000002006,handpump,never pay,salty,enough,borehole,hand pump,non functional,1,43
200.0,2011-03-23,18,Wami/Ruvu,Pwani,40,Company,True,1970-01-01 00:00:00.000001987,submersible,monthly,good,enough,river/lake,communal standpipe,non functional,3,41
0.0,2013-02-18,1560,Internal,Manyara,221,VWC,True,1970-01-01 00:00:00.000002008,gravity,never pay,good,insufficient,spring,communal standpipe,functional,2,43
0.0,2011-07-11,0,Lake Victoria,Kagera,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,never pay,milky,insufficient,shallow well,hand pump,non functional,7,41
250.0,2013-01-27,1471,Lake Tanganyika,Kigoma,950,Water authority,True,1970-01-01 00:00:00.000002007,gravity,monthly,good,enough,dam,communal standpipe,functional,1,43
500.0,2013-02-11,1274,Lake Tanganyika,Kigoma,1430,Water authority,False,1970-01-01 00:00:00.000001978,submersible,other,good,enough,borehole,communal standpipe,non functional,2,43
0.0,2011-08-04,0,Lake Victoria,Mwanza,0,Private operator,True,1970-01-01 00:00:00.000000000,submersible,per bucket,unknown,enough,borehole,communal standpipe,functional,8,41
0.0,2013-02-19,1000,Ruvuma/Southern Coast,Ruvuma,0,VWC,True,1970-01-01 00:00:00.000001978,gravity,on failure,good,enough,river/lake,communal standpipe,functional needs repair,2,43
0.0,2012-10-06,0,Internal,Shinyanga,0,VWC,False,1970-01-01 00:00:00.000000000,motorpump,never pay,good,enough,dam,communal standpipe,non functional,10,42
0.0,2011-08-04,98,Pangani,Tanga,110,VWC,True,1970-01-01 00:00:00.000001962,other,never pay,good,dry,shallow well,other,non functional,8,41
0.0,2013-01-17,1128,Internal,Singida,256,WUG,True,1970-01-01 00:00:00.000002010,handpump,never pay,good,enough,borehole,hand pump,functional,1,43
0.0,2013-02-05,1352,Lake Tanganyika,Kigoma,150,VWC,False,1970-01-01 00:00:00.000002002,gravity,unknown,good,insufficient,spring,improved spring,functional,2,43
50.0,2013-02-13,701,Ruvuma/Southern Coast,Ruvuma,1,VWC,False,1970-01-01 00:00:00.000002011,submersible,per bucket,good,enough,borehole,communal standpipe,functional needs repair,2,43
10.0,2013-02-26,1409,Pangani,Kilimanjaro,75,Water Board,True,1970-01-01 00:00:00.000001999,gravity,per bucket,good,enough,spring,communal standpipe,functional,2,43
1000.0,2013-02-16,744,Pangani,Kilimanjaro,320,VWC,True,1970-01-01 00:00:00.000002010,gravity,monthly,good,enough,spring,communal standpipe,functional,2,43
0.0,2013-02-17,0,Internal,Shinyanga,0,WUG,False,1970-01-01 00:00:00.000000000,handpump,other,good,enough,shallow well,hand pump,functional,2,43
0.0,2011-07-21,0,Lake Victoria,Kagera,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,other,good,enough,borehole,hand pump,non functional,7,41
50.0,2011-03-07,1428,Rufiji,Iringa,1,VWC,True,1970-01-01 00:00:00.000002000,gravity,per bucket,good,dry,spring,communal standpipe,non functional,3,41
0.0,2013-05-03,1295,Pangani,Arusha,120,VWC,True,1970-01-01 00:00:00.000002004,gravity,unknown,fluoride,insufficient,river/lake,communal standpipe,non functional,5,43
0.0,2013-07-03,1207,Pangani,Arusha,120,VWC,True,1970-01-01 00:00:00.000002005,gravity,unknown,good,enough,river/lake,communal standpipe,functional,7,43
0.0,2011-07-17,0,Lake Tanganyika,Kagera,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,never pay,milky,enough,shallow well,hand pump,functional,7,41
0.0,2011-04-07,0,Lake Nyasa,Mbeya,0,VWC,False,1970-01-01 00:00:00.000000000,gravity,on failure,good,seasonal,river/lake,communal standpipe,functional,4,41
0.0,2011-04-10,0,Wami/Ruvu,Dodoma,0,VWC,True,1970-01-01 00:00:00.000000000,gravity,per bucket,good,enough,spring,communal standpipe,non functional,4,41
0.0,2011-07-17,0,Lake Victoria,Kagera,0,VWC,True,1970-01-01 00:00:00.000000000,gravity,on failure,good,insufficient,spring,communal standpipe,non functional,7,41
0.0,2011-03-07,445,Wami/Ruvu,Morogoro,90,VWC,True,1970-01-01 00:00:00.000001997,handpump,never pay,good,enough,shallow well,hand pump,functional,3,41
0.0,2013-01-22,1191,Lake Victoria,Mara,804,Parastatal,False,1970-01-01 00:00:00.000002000,gravity,unknown,good,dry,rainwater harvesting,communal standpipe,non functional,1,43
50.0,2013-02-26,1348,Pangani,Manyara,1,VWC,True,1970-01-01 00:00:00.000002004,submersible,per bucket,salty,insufficient,borehole,communal standpipe,non functional,2,43
100.0,2011-02-25,2073,Lake Nyasa,Iringa,0,VWC,False,1970-01-01 00:00:00.000002000,gravity,monthly,good,enough,spring,communal standpipe,non functional,2,41
0.0,2011-07-14,0,Lake Victoria,Kagera,0,VWC,True,1970-01-01 00:00:00.000000000,other,never pay,good,enough,shallow well,other,functional,7,41
0.0,2011-07-22,0,Lake Tanganyika,Kagera,0,VWC,True,1970-01-01 00:00:00.000000000,gravity,never pay,good,enough,borehole,communal standpipe,non functional,7,41
0.0,2012-10-11,0,Lake Tanganyika,Tabora,0,VWC,True,1970-01-01 00:00:00.000000000,other,never pay,good,dry,borehole,hand pump,non functional,10,42
500.0,2011-03-23,2050,Rufiji,Iringa,305,WUA,True,1970-01-01 00:00:00.000002008,gravity,monthly,good,enough,spring,communal standpipe,functional,3,41
0.0,2011-07-27,0,Lake Victoria,Mwanza,0,VWC,True,1970-01-01 00:00:00.000000000,other,never pay,colored,dry,shallow well,other,non functional,7,41
0.0,2011-07-19,0,Lake Tanganyika,Kagera,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,never pay,good,enough,shallow well,hand pump,functional,7,41
20.0,2013-03-16,976,Pangani,Arusha,150,VWC,True,1970-01-01 00:00:00.000000000,gravity,per bucket,good,insufficient,spring,communal standpipe,functional,3,43
0.0,2011-04-15,0,Rufiji,Mbeya,0,WUA,False,1970-01-01 00:00:00.000000000,gravity,never pay,good,seasonal,river/lake,communal standpipe,functional,4,41
0.0,2011-03-05,1282,Pangani,Tanga,1,VWC,True,1970-01-01 00:00:00.000002008,gravity,never pay,good,enough,spring,communal standpipe,functional,3,41
0.0,2011-03-17,2050,Lake Nyasa,Iringa,50,VWC,False,1970-01-01 00:00:00.000002007,gravity,on failure,good,enough,spring,communal standpipe,functional,3,41
0.0,2011-07-11,0,Lake Rukwa,Mbeya,0,VWC,False,1970-01-01 00:00:00.000000000,handpump,never pay,good,seasonal,shallow well,hand pump,non functional,7,41
30.0,2013-01-25,11,Ruvuma/Southern Coast,Lindi,1,VWC,False,1970-01-01 00:00:00.000002006,handpump,per bucket,good,insufficient,shallow well,hand pump,non functional,1,43
0.0,2011-07-16,0,Lake Tanganyika,Kagera,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,never pay,good,enough,shallow well,hand pump,functional,7,41
0.0,2011-07-22,0,Lake Victoria,Kagera,0,VWC,True,1970-01-01 00:00:00.000000000,gravity,never pay,good,enough,rainwater harvesting,communal standpipe,functional,7,41
0.0,2011-10-07,0,Lake Nyasa,Mbeya,0,Water authority,True,1970-01-01 00:00:00.000000000,gravity,never pay,good,dry,river/lake,communal standpipe,non functional,10,41
20.0,2011-03-17,471,Wami/Ruvu,Morogoro,150,VWC,True,1970-01-01 00:00:00.000002004,gravity,monthly,good,enough,river/lake,communal standpipe,functional,3,41
0.0,2012-10-23,0,Lake Tanganyika,Tabora,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,never pay,good,dry,shallow well,hand pump,non functional,10,42
0.0,2011-08-03,385,Wami/Ruvu,Morogoro,1,VWC,True,1970-01-01 00:00:00.000001974,submersible,unknown,good,insufficient,borehole,communal standpipe,functional,8,41
0.0,2011-02-24,350,Wami/Ruvu,Morogoro,1,VWC,True,1970-01-01 00:00:00.000001972,gravity,never pay,unknown,dry,borehole,communal standpipe,non functional,2,41
50.0,2013-03-21,12,Wami/Ruvu,Dar es Salaam,150,Private operator,False,1970-01-01 00:00:00.000000000,submersible,per bucket,good,enough,borehole,communal standpipe,functional,3,43
0.0,2011-08-02,0,Lake Victoria,Kagera,0,VWC,True,1970-01-01 00:00:00.000000000,gravity,never pay,good,enough,spring,improved spring,functional needs repair,8,41
2000.0,2011-02-03,1603,Rufiji,Iringa,40,VWC,False,1970-01-01 00:00:00.000002010,rope pump,on failure,good,enough,borehole,hand pump,functional,2,41
0.0,2011-04-07,0,Rufiji,Mbeya,0,Water Board,True,1970-01-01 00:00:00.000000000,gravity,never pay,colored,seasonal,river/lake,communal standpipe,functional,4,41
0.0,2011-04-16,0,Rufiji,Mbeya,0,WUA,True,1970-01-01 00:00:00.000000000,gravity,never pay,colored,seasonal,river/lake,communal standpipe,functional,4,41
0.0,2013-03-16,-15,Wami/Ruvu,Dar es Salaam,50,VWC,False,1970-01-01 00:00:00.000001970,motorpump,never pay,salty,dry,borehole,other,non functional,3,43
0.0,2013-02-22,1481,Lake Victoria,Mara,400,Other,True,1970-01-01 00:00:00.000001996,handpump,unknown,good,enough,shallow well,hand pump,non functional,2,43
0.0,2013-02-03,1595,Lake Tanganyika,Kigoma,590,Water authority,False,1970-01-01 00:00:00.000001996,other,never pay,good,enough,spring,other,functional,2,43
400.0,2013-02-24,531,Ruvuma/Southern Coast,Ruvuma,1,VWC,False,1970-01-01 00:00:00.000002009,handpump,monthly,good,enough,borehole,hand pump,non functional,2,43
0.0,2011-04-02,0,Rufiji,Mbeya,0,VWC,True,1970-01-01 00:00:00.000000000,gravity,on failure,good,insufficient,river/lake,communal standpipe,functional,4,41
0.0,2012-10-19,0,Lake Tanganyika,Shinyanga,0,WUG,True,1970-01-01 00:00:00.000000000,other,unknown,good,enough,shallow well,other,functional needs repair,10,42
0.0,2012-10-20,0,Lake Victoria,Shinyanga,0,WUG,False,1970-01-01 00:00:00.000000000,handpump,other,good,enough,shallow well,hand pump,functional,10,42
0.0,2013-01-30,101,Ruvuma/Southern Coast,Lindi,1,VWC,False,1970-01-01 00:00:00.000002010,handpump,never pay,good,enough,borehole,hand pump,functional,1,43
1000.0,2011-03-03,1562,Rufiji,Iringa,250,VWC,False,1970-01-01 00:00:00.000002009,handpump,on failure,good,enough,borehole,hand pump,functional,3,41
0.0,2011-08-17,1481,Lake Rukwa,Rukwa,450,VWC,False,1970-01-01 00:00:00.000001986,other,never pay,good,enough,borehole,other,non functional,8,41
500.0,2011-03-28,1445,Rufiji,Iringa,80,WUA,True,1970-01-01 00:00:00.000001978,gravity,monthly,good,enough,river/lake,communal standpipe,functional,3,41
1200.0,2013-01-21,1242,Lake Tanganyika,Kigoma,560,Water authority,True,1970-01-01 00:00:00.000001977,gravity,annually,good,enough,river/lake,communal standpipe,functional,1,43
0.0,2011-07-23,0,Lake Victoria,Mwanza,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,never pay,salty,enough,borehole,hand pump,functional,7,41
0.0,2013-01-25,1231,Internal,Singida,2500,VWC,False,1970-01-01 00:00:00.000002009,motorpump,unknown,good,enough,borehole,communal standpipe,functional,1,43
0.0,2012-10-23,0,Internal,Tabora,0,Private operator,False,1970-01-01 00:00:00.000000000,submersible,never pay,salty,enough,borehole,other,functional,10,42
0.0,2013-02-06,1076,Lake Tanganyika,Kigoma,1050,VWC,True,1970-01-01 00:00:00.000002010,other,unknown,good,enough,shallow well,other,non functional,2,43
0.0,2013-01-30,0,Lake Victoria,Shinyanga,0,Parastatal,False,1970-01-01 00:00:00.000000000,gravity,other,good,seasonal,rainwater harvesting,communal standpipe,functional,1,43
20.0,2013-02-05,262,Ruvuma/Southern Coast,Mtwara,36,VWC,True,1970-01-01 00:00:00.000002004,gravity,per bucket,good,seasonal,spring,communal standpipe,functional,2,43
0.0,2013-02-27,935,Ruvuma/Southern Coast,Ruvuma,540,VWC,True,1970-01-01 00:00:00.000001983,gravity,on failure,good,seasonal,river/lake,communal standpipe,functional,2,43
0.0,2011-08-11,823,Lake Rukwa,Rukwa,300,VWC,True,1970-01-01 00:00:00.000001972,gravity,never pay,good,dry,river/lake,communal standpipe,non functional,8,41
40.0,2011-03-09,217,Wami/Ruvu,Pwani,12,WUA,True,1970-01-01 00:00:00.000002010,submersible,per bucket,good,enough,river/lake,communal standpipe,functional,3,41
300.0,2011-03-11,665,Wami/Ruvu,Morogoro,632,VWC,True,1970-01-01 00:00:00.000001997,other,monthly,salty,insufficient,shallow well,other,non functional,3,41
500.0,2011-07-16,1783,Lake Tanganyika,Rukwa,50,VWC,True,1970-01-01 00:00:00.000001972,gravity,on failure,good,enough,river/lake,communal standpipe,functional,7,41
0.0,2013-03-07,961,Internal,Manyara,245,VWC,True,1970-01-01 00:00:00.000002012,handpump,never pay,fluoride,enough,shallow well,hand pump,functional,3,43
0.0,2013-01-17,0,Lake Victoria,Shinyanga,0,WUG,False,1970-01-01 00:00:00.000000000,other,unknown,good,enough,shallow well,other,non functional,1,43
0.0,2011-08-14,0,Lake Rukwa,Mbeya,0,VWC,False,1970-01-01 00:00:00.000000000,handpump,on failure,good,seasonal,shallow well,hand pump,functional,8,41
0.0,2011-03-12,183,Pangani,Tanga,600,VWC,False,1970-01-01 00:00:00.000002008,gravity,never pay,good,seasonal,spring,communal standpipe,non functional,3,41
1000.0,2011-03-02,1592,Rufiji,Iringa,1,VWC,True,1970-01-01 00:00:00.000001984,gravity,monthly,good,enough,spring,communal standpipe,functional,3,41
0.0,2011-03-05,-21,Rufiji,Pwani,32,VWC,False,1970-01-01 00:00:00.000000000,submersible,never pay,good,enough,borehole,communal standpipe,functional,3,41
0.0,2013-09-03,1589,Internal,Arusha,120,VWC,True,1970-01-01 00:00:00.000002006,gravity,unknown,good,enough,spring,communal standpipe,functional,9,43
0.0,2011-08-17,1485,Lake Rukwa,Rukwa,59,VWC,False,1970-01-01 00:00:00.000001986,handpump,never pay,good,enough,borehole,hand pump,non functional,8,41
0.0,2011-02-22,-16,Rufiji,Pwani,230,VWC,False,1970-01-01 00:00:00.000000000,handpump,never pay,salty,enough,shallow well,hand pump,functional,2,41
0.0,2011-02-16,1823,Rufiji,Iringa,1,VWC,True,1970-01-01 00:00:00.000002009,handpump,never pay,good,enough,borehole,hand pump,functional,2,41
0.0,2011-04-03,0,Lake Rukwa,Mbeya,0,VWC,True,1970-01-01 00:00:00.000000000,handpump,per bucket,good,enough,shallow well,hand pump,non functional,4,41
